name,cmc,release_year,price,color,image
Lurking Predators,6,2020,6.01,#087500,https://cards.scryfall.io/normal/front/9/9/9952da7c-3cfc-413f-8849-0f10e9c8dceb.jpg?1601079751
Maelstrom Archangel,5,2020,0.51,#d78f42,https://cards.scryfall.io/normal/front/e/d/ed111116-c2cc-4c97-a84c-f9576ea2ada7.jpg?1601083081
Magmaquake,2,2020,0.14,#ff1a1a,https://cards.scryfall.io/normal/front/f/e/feebd1ba-758f-4029-9f5c-19b07146b80d.jpg?1601078351
Mentor of the Meek,3,2020,0.3,#ffffff,https://cards.scryfall.io/normal/front/4/6/46150e35-bcaf-4b53-871d-d1d9091a36ab.jpg?1600717859
Mikaeus- the Lunarch,1,2020,0.37,#ffffff,https://cards.scryfall.io/normal/front/1/b/1b24d60d-bd80-4363-829c-a9d7f8c61fdf.jpg?1600717902
Momentous Fall,4,2020,0.59,#087500,https://cards.scryfall.io/normal/front/9/1/91a6f558-a754-4437-8328-00a6ca47f9b5.jpg?1601079764
Muxus- Goblin Grandee,6,2020,7.39,#ff1a1a,https://cards.scryfall.io/normal/front/2/c/2c716d10-2130-43b7-a939-349d437e1091.jpg?1618519471
Mystic Archaeologist,2,2020,0.07,#341aff,https://cards.scryfall.io/normal/front/d/e/de19d2db-604b-4d5f-8184-9bb0a31c7405.jpg?1600698074
Neyith of the Dire Hunt,4,2020,1.05,#d78f42,https://cards.scryfall.io/normal/front/0/c/0c1eed0f-9692-44c0-b1ad-afa691165d52.jpg?1632261896
Nyxathid,3,2020,0.14,#000000,https://cards.scryfall.io/normal/front/a/9/a9843f26-83ed-4517-8ad6-0e288833d140.jpg?1600700958
Ogre Slumlord,5,2020,0.27,#000000,https://cards.scryfall.io/normal/front/9/3/9342052f-6b6b-40b9-bbc9-7ba3e8365fe1.jpg?1600700987
Oracle of Mul Daya,4,2020,5.87,#087500,https://cards.scryfall.io/normal/front/5/d/5de097e5-e960-4404-a370-defe93ce892f.jpg?1601079841
Ormos- Archive Keeper,6,2020,0.15,#341aff,https://cards.scryfall.io/normal/front/7/1/711412f1-9ab3-48b6-91a4-77232b416a32.jpg?1632261767
Path of Bravery,3,2020,0.22,#ffffff,https://cards.scryfall.io/normal/front/6/d/6d389a05-2e1a-471d-a865-1c3b68a03e01.jpg?1600697093
Phyrexian Tower,0,2020,17.46,#000000,https://cards.scryfall.io/normal/front/0/5/05b2cc68-1d20-421f-9800-af0996071554.jpg?1601081190
Primeval Bounty,6,2020,0.51,#087500,https://cards.scryfall.io/normal/front/c/8/c8123d01-da65-4d03-9f23-3842fba5fc28.jpg?1601079945
Primordial Sage,6,2020,0.27,#087500,https://cards.scryfall.io/normal/front/4/b/4b0d8dec-e139-4565-9259-3c24c54c1d45.jpg?1601079960
Rageblood Shaman,3,2020,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/5/6/568a31c0-799b-48b6-a91c-95d176b22670.jpg?1601078490
Rampaging Brontodon,7,2020,2.46,#087500,https://cards.scryfall.io/normal/front/1/8/18d9a1e7-fe87-40e0-bff9-a1fa84b3b949.jpg?1601079973
Rattlechains,2,2020,0.26,#341aff,https://cards.scryfall.io/normal/front/5/0/505e7f2c-c040-427a-a3a1-e7b36066e4fe.jpg?1600713923
Ravenous Baloth,4,2020,0.08,#087500,https://cards.scryfall.io/normal/front/2/f/2f48df6c-8d5d-4d8a-b98a-793f6a56184d.jpg?1601079998
Read the Runes,1,2020,0.64,#341aff,https://cards.scryfall.io/normal/front/2/c/2c65088f-bbbd-4e8d-b482-58181069bef2.jpg?1600713936
Reanimate,1,2020,10.22,#000000,https://cards.scryfall.io/normal/front/6/5/652271a0-80e8-4b9b-8823-26c1528378fc.jpg?1600714661
Rhox Faithmender,4,2020,3.1,#ffffff,https://cards.scryfall.io/normal/front/6/2/62498e3c-2e9b-4444-a61c-fae3f8906010.jpg?1600697231
Rhystic Study,3,2020,35.78,#341aff,https://cards.scryfall.io/normal/front/d/6/d6914dba-0d27-4055-ac34-b3ebf5802221.jpg?1600698439
Riptide Laboratory,0,2020,0.2,#341aff,https://cards.scryfall.io/normal/front/8/c/8c6eadd8-71d8-4a87-8395-efe8cc9f0676.jpg?1601081216
Rise of the Dark Realms,9,2020,12.8,#000000,https://cards.scryfall.io/normal/front/7/c/7c0e1064-47c3-4f03-a1f2-3bcb356db82b.jpg?1600701321
Rishkar- Peema Renegade,3,2020,0.26,#087500,https://cards.scryfall.io/normal/front/b/3/b3a35e69-145f-4cb0-b7f1-0eac8638afbe.jpg?1601080012
Sangromancer,4,2020,0.52,#000000,https://cards.scryfall.io/normal/front/9/c/9cdebdfd-a29b-4482-ab83-012d5faba2e4.jpg?1600701349
Sarkhan's Unsealing,4,2020,0.69,#ff1a1a,https://cards.scryfall.io/normal/front/b/b/bb9c6068-cfd8-4371-b549-e474d573e52e.jpg?1601078552
Scarecrone,3,2020,0.89,#8c8d8b,https://cards.scryfall.io/normal/front/a/8/a8c9d86a-54a3-457c-b9b4-61f914de6e14.jpg?1601080952
Scholar of the Lost Trove,7,2020,0.17,#341aff,https://cards.scryfall.io/normal/front/a/a/aa254a86-3c30-408d-9c14-befd472f9740.jpg?1651525848
Scourge of Nel Toth,7,2020,0.46,#000000,https://cards.scryfall.io/normal/front/8/b/8b39ee60-c467-4145-8ca7-123eef01791e.jpg?1600701403
Selvala- Heart of the Wilds,3,2020,14.72,#087500,https://cards.scryfall.io/normal/front/f/b/fb87782d-e9c7-440b-bd96-aa043d18e185.jpg?1601080073
Serendib Efreet,3,2020,0.06,#341aff,https://cards.scryfall.io/normal/front/3/0/30032a0b-dece-42a4-9309-fa9e9e277603.jpg?1600714001
Sethron- Hurloon General,5,2020,0.22,#d78f42,https://cards.scryfall.io/normal/front/2/7/274cdb39-1454-4c9b-acd8-4f762a48e71f.jpg?1632261849
Sharding Sphinx,6,2020,0.24,#341aff,https://cards.scryfall.io/normal/front/4/d/4df1ce35-1f1c-40ab-8e4d-cb087b4656d8.jpg?1600714018
Sheoldred- Whispering One,7,2020,12.64,#000000,https://cards.scryfall.io/normal/front/8/b/8b207a4a-47d1-4905-81d3-455c59bfd7da.jpg?1600714694
Sin Prodder,3,2020,0.28,#ff1a1a,https://cards.scryfall.io/normal/front/d/b/db89172e-0542-4858-9e65-38b1bac8cdeb.jpg?1601078601
Soul of the Harvest,6,2020,0.84,#087500,https://cards.scryfall.io/normal/front/d/7/d7ce9104-0ad3-4d3d-bb2c-c456c25030f6.jpg?1601080108
Steel-Plume Marshal,5,2020,0.2,#ffffff,https://cards.scryfall.io/normal/front/d/d/ddbcb165-0a60-493a-8cbb-ba8b36c527da.jpg?1632261698
Talrand- Sky Summoner,4,2020,0.22,#341aff,https://cards.scryfall.io/normal/front/3/d/3d89c1a1-1896-4360-b123-52d82a6871d4.jpg?1600714045
Thragtusk,5,2020,0.18,#087500,https://cards.scryfall.io/normal/front/d/0/d0594c41-0361-4a3b-a9cd-60f4e3b0cffe.jpg?1601080176
Tinybones- Trinket Thief,2,2020,11.65,#000000,https://cards.scryfall.io/normal/front/4/0/4063be5b-bfd9-43c5-bc39-09a40bc793bf.jpg?1632261785
Towering Titan,6,2020,1.22,#087500,https://cards.scryfall.io/normal/front/a/2/a2c3eac5-3354-44ce-97c2-bafce78433ca.jpg?1632261901
Ulvenwald Hydra,6,2020,2.11,#087500,https://cards.scryfall.io/normal/front/0/7/0700d1c1-faab-4a1a-b55d-a2fa4582a2b4.jpg?1601080240
Vedalken Archmage,4,2020,2.72,#341aff,https://cards.scryfall.io/normal/front/5/0/508b3cb7-b434-4524-8ef0-7db7f7f22edd.jpg?1600714104
Verdant Embrace,5,2020,0.18,#087500,https://cards.scryfall.io/normal/front/5/0/50c915a4-a75f-40e7-b78a-9c304dcdd83e.jpg?1601080278
Whelming Wave,4,2020,0.27,#341aff,https://cards.scryfall.io/normal/front/b/c/bc84fb92-bb66-4f1a-b360-f87fdbcd45b7.jpg?1600699129
Windreader Sphinx,7,2020,0.24,#341aff,https://cards.scryfall.io/normal/front/d/0/d0346326-6bdf-4385-ab41-7b06e9f66ffd.jpg?1600699154
Witch of the Moors,5,2020,2.3,#000000,https://cards.scryfall.io/normal/front/f/4/f484f19a-0121-4173-a70b-6698cc5f6303.jpg?1632261791
Zurzoth- Chaos Rider,3,2020,0.25,#ff1a1a,https://cards.scryfall.io/normal/front/3/d/3d94b4c3-7944-41b6-8c92-78fd6e50658d.jpg?1632261859
